cust_id,gender
3500,0.34
3501,0.86
3502,0.71
3503,0.51
3504,0.61
3505,0.65
3506,0.73
3507,0.18
3508,0.82
3509,0.68
3510,0.73
3511,0.6
3512,0.52
3513,0.95
3514,0.36
3515,0.84
3516,0.8
3517,0.78
3518,0.6
3519,0.36
3520,0.5
3521,0.53
3522,0.1
3523,0.86
3524,0.8
3525,0.52
3526,0.8
3527,0.34
3528,0.47
3529,0.48
3530,0.65
3531,0.3
3532,0.7
3533,0.75
3534,0.71
3535,0.5
3536,0.19
3537,0.56
3538,0.53
3539,0.82
3540,0.89
3541,0.69
3542,0.63
3543,0.41
3544,0.45
3545,0.77
3546,0.77
3547,0.94
3548,0.47
3549,0.9
3550,0.41
3551,0.57
3552,0.68
3553,0.66
3554,0.69
3555,0.67
3556,0.52
3557,0.76
3558,0.7
3559,0.63
3560,0.55
3561,0.71
3562,0.79
3563,0.78
3564,0.48
3565,0.58
3566,0.86
3567,0.34
3568,0.69
3569,0.45
3570,0.79
3571,0.7
3572,0.37
3573,0.55
3574,0.56
3575,0.39
3576,0.38
3577,0.69
3578,0.56
3579,0.93
3580,0.54
3581,0.46
3582,0.35
3583,0.58
3584,0.53
3585,0.76
3586,0.66
3587,0.86
3588,0.77
3589,0.62
3590,0.56
3591,0.81
3592,0.49
3593,0.48
3594,0.63
3595,0.63
3596,0.6
3597,0.52
3598,0.69
3599,0.56
3600,0.63
3601,0.86
3602,0.41
3603,0.76
3604,0.52
3605,0.49
3606,0.69
3607,0.82
3608,0.63
3609,0.54
3610,0.5
3611,0.61
3612,0.23
3613,0.7
3614,0.51
3615,0.87
3616,0.47
3617,0.33
3618,0.53
3619,0.93
3620,0.52
3621,0.81
3622,0.49
3623,0.43
3624,0.75
3625,0.68
3626,0.44
3627,0.71
3628,0.41
3629,0.69
3630,0.89
3631,0.41
3632,0.45
3633,0.81
3634,0.75
3635,0.64
3636,0.54
3637,0.53
3638,0.72
3639,0.32
3640,0.5
3641,0.76
3642,0.32
3643,0.79
3644,0.55
3645,0.72
3646,0.83
3647,0.56
3648,0.34
3649,0.62
3650,0.78
3651,0.51
3652,0.74
3653,0.5
3654,0.6
3655,0.55
3656,0.56
3657,0.78
3658,0.91
3659,0.91
3660,0.69
3661,0.64
3662,0.9
3663,0.65
3664,0.33
3665,0.52
3666,0.3
3667,0.53
3668,0.73
3669,0.44
3670,0.68
3671,0.22
3672,0.78
3673,0.41
3674,0.4
3675,0.36
3676,0.83
3677,0.45
3678,0.85
3679,0.72
3680,0.81
3681,0.44
3682,0.53
3683,0.92
3684,0.59
3685,0.52
3686,0.83
3687,0.57
3688,0.76
3689,0.67
3690,0.6
3691,0.86
3692,0.72
3693,0.62
3694,0.58
3695,0.14
3696,0.4
3697,0.61
3698,0.7
3699,0.57
